impressions,userdau,newuser,totalinit,income
488972,347902,87367,95062,829.16
492509,347612,89894,94491,891.09
493101,347541,89848,95659,877.42
507152,354500,92483,98990,898.56
1037133,602243,210897,190744,2022.77
1083033,623250,232340,198435,2081.56
559719,428003,129358,117543,975.33
516358,360576,99263,99095,796.09
561903,368877,100650,103937,1007.37
574984,381285,104314,110166,1122.91
1263170,699119,254425,228069,2474.82
1486424,762500,304710,262002,2606.21
1450200,720544,287108,249177,2368.64
881230,480472,151187,155285,1423.67
703032,385617,104502,124246,1028.96
692669,385209,107041,147406,1251.95
652552,392311,112693,220423,1171.57
588354,383769,104491,204090,1030.3
1203029,646956,232921,359725,1946.37
1280752,688831,271935,360337,1825.92
778141,486381,158066,244725,1061.58
606980,394629,111470,199598,859.22
618582,394238,108420,203059,910.64
619586,400135,110521,206719,958.94
638342,411531,115714,195110,895.83
1275211,716502,269703,267862,1983.01
1311126,783928,335885,280118,2078.39
802772,526004,182193,195534,1251.61
649180,418189,123294,182110,959.7
700890,418406,123606,253226,931.07
1066069,429224,128626,262601,996.87
1227663,442410,134460,277327,1046.3
3135735,746690,299603,483965,2311.87
3210120,794189,339778,512438,2433.19
1925059,553329,200747,353979,1287.28
1197209,477326,158470,302656,1226.53
1195943,499913,176809,307707,1104.36
2328479,931073,451789,582841,2098.95
2097730,1012627,548140,494160,2303.64
2150358,1039391,641119,522843,2629.08
1309093,1424864,930572,635066,1626.59
